team,match,Ci,Co,weight_centralization,network_intensity,possession_minutes,possession_percentage,goal_scored,I_normalized_minutes,I_normalized_percentage
North Macedonia,Austria_North Macedonia,0.09330543933054393,0.1209205020920502,0.02591071360024567,239,19.74075580025,37.75356511532853,1.0,12.106932602700716,6.3305279718593335
North Macedonia,North Macedonia_Netherlands,0.04643962848297214,0.056656346749226,0.02377368137018207,323,24.9319182507,41.13231726267757,0.0,12.955280726982622,7.852706132194553
North Macedonia,Ukraine_North Macedonia,0.04332247557003258,0.05407166123778501,0.01506141111077907,307,25.723250967183333,48.92516248672168,1.0,11.934727861251208,6.274889737633881
Poland,Poland_Slovakia,0.07254901960784314,0.07973856209150326,0.04461234034898363,459,30.78347486845,56.430776882540215,1.0,14.910597389069594,8.133859311478227
Poland,Spain_Poland,0.06176470588235294,0.07794117647058824,0.02974905558553697,136,16.598997416966668,31.11946952967334,1.0,8.193265929482438,4.370254443775783
Poland,Sweden_Poland,0.09752321981424149,0.09752321981424149,0.04396852898571307,323,28.739168770016665,62.732773064704794,2.0,11.239016778278682,5.148823879774076
Portugal,Belgium_Portugal,0.05456674473067916,0.07259953161592506,0.04971746556947339,427,34.9729286836,58.2298291356287,0.0,12.209443591729704,7.333011385031428
Portugal,Hungary_Portugal,0.05165441176470588,0.07591911764705882,0.02666284403669725,544,37.3542553201,65.67415328782613,3.0,14.5632671656361,8.283319582604197
Portugal,Portugal_France,0.1159353348729792,0.1184757505773672,0.03381570862554823,433,29.376419083600002,48.8348212118826,2.0,14.739713467722527,8.866624045193422
Portugal,Portugal_Germany,0.06891385767790262,0.06067415730337079,0.032505240009621,267,23.354650901766668,44.33369195240728,2.0,11.432412375720963,6.0225076739971835
Russia,Belgium_Russia,0.09154228855721393,0.07512437810945273,0.0409420785978365,201,21.999241335666667,38.159071096695385,0.0,9.136678712375645,5.267423818851995
Russia,Finland_Russia,0.05492957746478874,0.05234741784037559,0.03185166042124305,426,35.06864897023333,57.988617888419455,1.0,12.147602274658302,7.346269242348571
